metric_name,fy2025_value,fy2024_value
Net sales,1868494.0,1829873.0
Cost of goods sold,795810.0,766589.0
Gross profit,1072684.0,1063284.0
Operating income,213557.0,245376.0
Net income,165387.0,175689.0
Cash,188342.0,358795.0
Inventory,290611.0,310058.0
Total assets,1235418.0,1286120.0
Total liabilities,585142.0,546013.0
